replicate,timepoint,phage,host,infectivity,resistance
2.7,t1,1,1,1,-2.12E-16
2.7,t1,2,2,0.888888889,0.055555556
2.7,t1,3,3,0.972222222,0.027777778
2.7,t1,4,4,1,0.027777778
2.7,t1,5,5,1,0.027777778
2.7,t1,6,6,1,0.055555556
2.7,t1,7,7,1,-1.60E-16
2.7,t1,8,8,1,0.027777778
2.7,t1,9,9,1,0.027777778
2.7,t1,10,10,1,0.055555556
2.7,t1,11,11,0.75,0.055555556
2.7,t1,12,12,0.972222222,0.055555556
2.7,t4,1,1,0.611111111,0.333333333
2.7,t4,2,2,0.611111111,1
2.7,t4,3,3,0.611111111,0.333333333
2.7,t4,4,4,0.611111111,0.333333333
2.7,t4,5,5,0.611111111,0.333333333
2.7,t4,6,6,0.611111111,0.333333333
2.7,t4,7,7,0.611111111,0.333333333
2.7,t4,8,8,0.611111111,0.361111111
2.7,t4,9,9,0.611111111,0.333333333
2.7,t4,10,10,0.611111111,0.361111111
2.7,t4,11,11,0.611111111,0.333333333
2.7,t4,12,12,0.555555556,0.333333333
2.7,t9,1,1,0.305555556,0.805555556
2.7,t9,2,2,0.277777778,0.333333333
2.7,t9,3,3,0.138888889,0.805555556
2.7,t9,4,4,0.25,0.805555556
2.7,t9,5,5,0.277777778,1
2.7,t9,6,6,0.277777778,0.75
2.7,t9,7,7,0.25,0.805555556
2.7,t9,8,8,0.25,1
2.7,t9,9,9,0.055555556,0.805555556
2.7,t9,10,10,0.055555556,0.888888889
2.7,t9,11,11,0.055555556,0.944444444
2.7,t9,12,12,0.111111111,0.75